precinct,is_accessible,location,address,mapzen GID,geocoded address,lat,lon
300000,True,THE WATER'S EDGE LODGE CAFE,801 ISLAND DR ALAMEDA,openaddresses:address:us/ca/alameda:5147,"801 Island Drive, Alameda, CA, USA",37.73848,-122.238903
300100,True,HARBOR BAY ISLE HOMEOWNERS ASSN,3195 MECARTNEY RD ALAMEDA,openaddresses:address:us/ca/alameda:52,"3221 Mecartney Road, Alameda, CA, USA",37.736959,-122.241539
300110,True,CASITAS ALAMEDA COMMUNITY CENTER,1101 VERDEMAR DR ALAMEDA,openaddresses:address:us/ca/alameda:6212,"1101 Verdemar Drive, Alameda, CA, USA",37.735052,-122.246257
300120,False,ISLANDIA REC CENTER DOWNSTAIRS,1138 ISLAND DR ALAMEDA,openaddresses:address:us/ca/alameda:5563,"1061 Island Drive, Alameda, CA, USA",37.733705,-122.241814
300140,True,ALAMEDA FIRE STATION 4 CARDIO RM,2595 MECARTNEY RD ALAMEDA,openaddresses:address:us/ca/alameda:92,"2595 Mecartney Road, Alameda, CA, USA",37.737572,-122.252483
300150,True,TEMPLE ISRAEL SOCIAL HALL,3183 MECARTNEY RD ALAMEDA,openstreetmap:address:way:361625826,"3183 Mecartney Road, Alameda, CA, USA",37.737803,-122.242286
300170,False,GARAGE,116 GAINSBOROUGH CT ALAMEDA,openaddresses:address:us/ca/alameda:10480,"116 Gainsborough Court, Alameda, CA, USA",37.746964,-122.247414
300180,True,HARBOR BAY ISLE HOMEOWNERS ASSN,3195 MECARTNEY RD ALAMEDA,openaddresses:address:us/ca/alameda:52,"3221 Mecartney Road, Alameda, CA, USA",37.736959,-122.241539
300210,True,TEMPLE ISRAEL SOCIAL HALL,3183 MECARTNEY RD ALAMEDA,openstreetmap:address:way:361625826,"3183 Mecartney Road, Alameda, CA, USA",37.737803,-122.242286
300300,True,LINCOLN SCH RM 605,1250 FERNSIDE BLVD ALAMEDA,openaddresses:address:us/ca/alameda:3367,"1250 Fernside Boulevard, Alameda, CA, USA",37.753234,-122.231459
300400,True,LINCOLN SCH RM 605,1250 FERNSIDE BLVD ALAMEDA,openaddresses:address:us/ca/alameda:3367,"1250 Fernside Boulevard, Alameda, CA, USA",37.753234,-122.231459
301100,True,EDISON SCH  MULTI-USE RM,2700 BUENA VISTA AVE ALAMEDA,openstreetmap:address:way:339654220,"2700 Buena Vista Avenue, Alameda, CA, USA",37.764603,-122.234785
301200,False,ALAMEDA CHRISTIAN REFORMED CH,2914 ENCINAL AVE ALAMEDA,openaddresses:address:us/ca/alameda:8315,"2914 Encinal Avenue, Alameda, CA, USA",37.757356,-122.236023
301400,False,AEOLIAN YACHT CLUB GROUND FLOOR,980 FERNSIDE BLVD ALAMEDA,openaddresses:address:us/ca/alameda:20344,"2817 Fernside Boulevard, Alameda, CA, USA",37.76671,-122.231295
301520,False,ALAMEDA HEALTHCARE &  WELLNESS CENTER,430 WILLOW ST ALAMEDA,openaddresses:address:us/ca/alameda:14415,"430 Willow Street, Alameda, CA, USA",37.758764,-122.255287
301800,False,ALAMEDA CHRISTIAN REFORMED CH,2914 ENCINAL AVE ALAMEDA,openaddresses:address:us/ca/alameda:8315,"2914 Encinal Avenue, Alameda, CA, USA",37.757356,-122.236023
301900,True,LOBBY,920 PARK ST ALAMEDA,openaddresses:address:us/ca/alameda:12486,"920 Park Street, Alameda, CA, USA",37.757795,-122.247889
302000,True,EDISON SCH MULTI-USE RM,2700 BUENA VISTA AVE ALAMEDA,openstreetmap:address:way:339654220,"2700 Buena Vista Avenue, Alameda, CA, USA",37.764603,-122.234785
302100,False,RHYTHMIX CULTURAL WORKS 1ST FLR RM,2513 BLANDING AVE ALAMEDA,openstreetmap:address:node:2630791261,"2651B Blanding Avenue, Alameda, CA, USA",37.769003,-122.232585
302200,True,EDISON SCH  MULTI-USE RM,2700 BUENA VISTA AVE ALAMEDA,openstreetmap:address:way:339654220,"2700 Buena Vista Avenue, Alameda, CA, USA",37.764603,-122.234785
302400,False,CITY HALL RM 360 ENTER ON OAK ST,2263 SANTA CLARA AVE ALAMEDA,openaddresses:address:us/ca/alameda:13267,"2263 Santa Clara Avenue, Alameda, CA, USA",37.766428,-122.243649
302500,False,KOFMAN AUDITORIUM LOBBY USE RAMP,2200 CENTRAL AVE ALAMEDA,openaddresses:address:us/ca/alameda:12764,"2200 Central Avenue, Alameda, CA, USA",37.765127,-122.245815
302510,False,CENTRAL BAPT CHURCH FOYER,2133 CENTRAL AVE ALAMEDA,openaddresses:address:us/ca/alameda:13461,"2133 Central Avenue, Alameda, CA, USA",37.766857,-122.248526
302700,False,KOFMAN AUDITORIUM LOBBY USE RAMP,2200 CENTRAL AVE ALAMEDA,openaddresses:address:us/ca/alameda:12764,"2200 Central Avenue, Alameda, CA, USA",37.765127,-122.245815
303000,False,ALAMEDA HOSPITAL CONF RM C,2070 CLINTON AVE ALAMEDA,openaddresses:address:us/ca/alameda:14643,"2070 Clinton Avenue, Alameda, CA, USA",37.76319,-122.254017
303300,False,DONALD C LUM SCHOOL LOBBY,1801 SANDCREEK WAY ALAMEDA,openaddresses:address:us/ca/alameda:3361,"1801 Sandcreek Way, Alameda, CA, USA",37.761758,-122.259615
303400,True,ST JOSEPH NOTRE DAME HS GYM FOYER,1011 CHESTNUT ST ALAMEDA,openaddresses:address:us/ca/alameda:14973,"1011 Chestnut Street, Alameda, CA, USA",37.765513,-122.254954
303500,False,1ST CONGREGATION CH SOCIAL HALL,1912 CENTRAL AVE ALAMEDA,openaddresses:address:us/ca/alameda:15449,"1912 Central Avenue, Alameda, CA, USA",37.768481,-122.253025
303600,True,FIRST BAPTIST CHURCH GYM,1515 SANTA CLARA AVE ALAMEDA,openaddresses:address:us/ca/alameda:15897,"1515 Santa Clara Avenue, Alameda, CA, USA",37.772995,-122.259832
303800,False,1ST CONGREGATION CH SOCIAL HALL,1912 CENTRAL AVE ALAMEDA,openaddresses:address:us/ca/alameda:15449,"1912 Central Avenue, Alameda, CA, USA",37.768481,-122.253025
304000,False,TRINITY LUTH CH FELLOWSHIP HALL,1323 CENTRAL AVE ALAMEDA,openaddresses:address:us/ca/alameda:16464,"1323 Central Avenue, Alameda, CA, USA",37.771184,-122.26246
304120,True,WOOD MIDDLE SCHOOL PORTABLE 2,420 GRAND ST ALAMEDA,openaddresses:address:us/ca/alameda:308433,"420 Grand Street, Alameda, CA, USA",37.760945,-122.261066
304200,False,MAYA LIN  SCHOOL  LOBBY,825 TAYLOR AVE ALAMEDA,openaddresses:address:us/ca/alameda:3844,"825 Taylor Avenue, Alameda, CA, USA",37.772547,-122.27193
304500,False,SEVENTH DAY ADVENTIST CHURCH,1515 VERDI ST ALAMEDA,openaddresses:address:us/ca/alameda:2231,"1515 Verdi Street, Alameda, CA, USA",37.7736,-122.267413
304600,False,MAYA LIN SCHOOL  LOBBY,825 TAYLOR AVE ALAMEDA,openaddresses:address:us/ca/alameda:3844,"825 Taylor Avenue, Alameda, CA, USA",37.772547,-122.27193
304700,False,ELDERS INN LOBBY CAFE,1723 WEBSTER ST ALAMEDA,openaddresses:address:us/ca/alameda:18551,"1503 Webster Street, Alameda, CA, USA",37.773483,-122.276947
304800,False,TRINITY LUTH CH FELLOWSHIP HALL,1323 CENTRAL AVE ALAMEDA,openaddresses:address:us/ca/alameda:16464,"1323 Central Avenue, Alameda, CA, USA",37.771184,-122.26246
304900,False,ST BARNABAS SCHOOL HALL,1400  6TH ST ALAMEDA,openaddresses:address:us/ca/alameda:18169,"1400 6th Street, Alameda, CA, USA",37.771711,-122.279316
305000,True,INDEPENDENCE PLAZA COMM ROOM,703 ATLANTIC AVE ALAMEDA,openaddresses:address:us/ca/alameda:3115,"703 Atlantic Avenue, Alameda, CA, USA",37.780377,-122.275886
305010,True,INDEPENDENCE PLAZA COMM ROOM,703 ATLANTIC AVE ALAMEDA,openaddresses:address:us/ca/alameda:3115,"703 Atlantic Avenue, Alameda, CA, USA",37.780377,-122.275886
305100,True,BAYPORT PARK COMM BLDG,301 JACK LONDON AVE ALAMEDA,openaddresses:address:us/ca/alameda:305905,"351 Jack London Avenue, Alameda, CA, USA",37.78197,-122.285585
305400,True,ENCINAL HIGH SCHOOL RM 717,210 CENTRAL AVE ALAMEDA,openaddresses:address:us/ca/alameda:3362,"210 Central Avenue, Alameda, CA, USA",37.772922,-122.289615
305410,True,PADEN SCHOOL HALLWAY,444 CENTRAL AVE ALAMEDA,openaddresses:address:us/ca/alameda:3118,"444 Central Avenue, Alameda, CA, USA",37.771227,-122.283539
305600,False,WOODSTOCK HOMES CORP CONF RM,1711  2ND ST ALAMEDA,openaddresses:address:us/ca/alameda:19440,"1711 2nd Street, Alameda, CA, USA",37.77696,-122.290204
305700,False,ST BARNABAS SCHOOL HALL,1400  6TH ST ALAMEDA,openaddresses:address:us/ca/alameda:18169,"1400 6th Street, Alameda, CA, USA",37.771711,-122.279316
260100,False,UNIVERSITY VILLAGE OFFICE CROSSROADS RM,1125 JACKSON STREET ALBANY,openaddresses:address:us/ca/alameda:20882,"1110 Jackson Street, Albany, CA, USA",37.883854,-122.300646
260300,False,ALBANY COUNCIL CHAMBER,1000 SAN PABLO AVE ALBANY,openaddresses:address:us/ca/alameda:22893,"1000 San Pablo Avenue, Albany, CA, USA",37.887463,-122.298796
260400,True,ORIENTATION CENTER FOR THE BLIND,400 ADAMS ST ALBANY,openaddresses:address:us/ca/alameda:25022,"400 Adams Street, Albany, CA, USA",37.897616,-122.302688
260610,True,ORIENTATION CENTER FOR THE BLIND,400 ADAMS ST ALBANY,openaddresses:address:us/ca/alameda:25022,"400 Adams Street, Albany, CA, USA",37.897616,-122.302688
260800,False,ALBANY VETERANS BLDG AUDITORIUM,1325 PORTLAND AVE ALBANY,openaddresses:address:us/ca/alameda:22679,"1325 Portland Avenue, Albany, CA, USA",37.895583,-122.290805
260900,False,ALBANY VETERANS BLDG AUDITORIUM,1325 PORTLAND AVE ALBANY,openaddresses:address:us/ca/alameda:22679,"1325 Portland Avenue, Albany, CA, USA",37.895583,-122.290805
261000,False,ALBANY VETERANS BLDG AUDITORIUM,1325 PORTLAND AVE ALBANY,openaddresses:address:us/ca/alameda:22679,"1325 Portland Avenue, Albany, CA, USA",37.895583,-122.290805
261300,False,ALBANY SENIOR CENTER LOBBY,846 MASONIC AVE. ALBANY,openaddresses:address:us/ca/alameda:24243,"846 Masonic Avenue, Albany, CA, USA",37.891198,-122.293983
261400,False,ALBANY UNITED METHODIST CHURCH,980 STANNAGE AVE ALBANY,openaddresses:address:us/ca/alameda:22410,"980 Stannage Avenue, Albany, CA, USA",37.887442,-122.296374
261600,False,ALBANY UNITED METHODIST CHURCH,980 STANNAGE AVE ALBANY,openaddresses:address:us/ca/alameda:22410,"980 Stannage Avenue, Albany, CA, USA",37.887442,-122.296374
261700,False,ALBANY COMM CENTER  LOBBY,1249 MARIN AVE ALBANY,openaddresses:address:us/ca/alameda:24712,"1249 Marin Avenue, Albany, CA, USA",37.887941,-122.292965
262000,False,ALBANY COMM CENTER  LOBBY,1249 MARIN AVE ALBANY,openaddresses:address:us/ca/alameda:24712,"1249 Marin Avenue, Albany, CA, USA",37.887941,-122.292965
262100,False,ST ALBANS EPISCOPAL CH PARISH HALL,1501 WASHINGTON AVE ALBANY,openaddresses:address:us/ca/alameda:22186,"1501 Washington Avenue, Albany, CA, USA",37.893064,-122.287126
200100,False,SHEPHERD OF THE HILLS LUTH CH SIDE B,401 GRIZZLY PEAK BLVD BERKELEY,openaddresses:address:us/ca/alameda:83329,"401 Grizzly Peak Boulevard, Berkeley, CA, USA",37.903935,-122.269196
200200,False,BERKELEY  FIRE STATION 7,3000 SHASTA RD BERKELEY,openaddresses:address:us/ca/alameda:83770,"3000 Shasta Road, Berkeley, CA, USA",37.890125,-122.250684
200300,False,GARAGE,1 ARCADE AVE BERKELEY,openaddresses:address:us/ca/alameda:78886,"1 Arcade Avenue, Berkeley, CA, USA",37.886581,-122.251792
200600,False,GERMAN INT SCHOOL OF SILICON VALLEY,1581 LE ROY AVE BERKELEY,openaddresses:address:us/ca/berkeley:20381,"1581 Le Roy Avenue, Berkeley, CA, USA",37.880756,-122.25918
200700,False,PACIFIC LUTHERAN THEOLOGICAL SEMINARY,2770 MARIN AVE BERKELEY,openaddresses:address:us/ca/alameda:83591,"2770 Marin Avenue, Berkeley, CA, USA",37.897379,-122.259344
200800,False,GARAGE,1065 CRESTON RD BERKELEY,openaddresses:address:us/ca/alameda:83676,"1065 Creston Road, Berkeley, CA, USA",37.89384,-122.257256
